trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,13,8.548748568648014,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-20.50052529544887,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,6,34.86825835760167,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,-91.58367495217142,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,10,-7.206254969349574,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,6,-28.90140169967676,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,10,-3.9368812994420197,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,15,-28.539202748384657,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,19,11.02199101773112,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",20,3,5.151051232977353,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,0,2.5942242010418672,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,8,8.136578678081722,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,0,-25.64206624301351,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,0,31.407369889021496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,18,10.556052215202254,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,17,17.15581765963034,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,0,-47.45905121515989,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,0,43.3302598751002,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,9,18.621855360850347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,5,29.1354805262573,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,14,9.634289249767399,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,16,9.207901651906782,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",30,0,39.24878844624561,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,14,10.402940189132284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,10,16.25361355208623,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,19,10.64049307216216,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,9,21.725589866481677,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,5,28.160807862943006,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,2,28.946515647946224,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,2,24.54290857281375,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,0,29.09973704715004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,7,14.839764204075667,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,4,24.310795000102438,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",25,0,33.93881347442808,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,0,35.47671202850073,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,15,8.978256447155358,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,7,31.37248357917389,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
