trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,True,"{'a': 0.0, 'e': 0.0}",20,12,13.257409685578551,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,True,"{'a': 0.0, 'e': 0.0}",20,0,32.652248940341366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,True,"{'a': 0.0, 'e': 0.0}",30,16,26.05048338127279,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,True,"{'a': 0.0, 'e': 0.0}",30,0,47.92702688011956,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,True,"{'a': 0.0, 'e': 0.0}",25,3,33.58786939031336,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,True,"{'a': 0.0, 'e': 0.0}",30,9,33.76976786791922,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,True,"{'a': 0.0, 'e': 0.0}",20,0,30.11043205982424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,True,"{'a': 0.0, 'e': 0.0}",25,3,26.869540068915647,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,True,"{'a': 0.0, 'e': 0.0}",20,0,29.526735230461256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,True,"{'a': 0.0, 'e': 0.0}",20,14,10.843231609880796,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,True,"{'a': 0.0, 'e': 0.0}",20,10,21.986280203725755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,True,"{'a': 0.0, 'e': 0.0}",20,1,28.601688774096978,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,True,"{'a': 0.0, 'e': 0.0}",25,14,17.993545757640167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,True,"{'a': 0.0, 'e': 0.0}",30,3,43.12976188645809,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,True,"{'a': 0.0, 'e': 0.0}",20,6,23.307681914845567,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,True,"{'a': 0.0, 'e': 0.0}",20,6,21.414289133449774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,True,"{'a': 0.0, 'e': 0.0}",20,13,11.526009694076304,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,True,"{'a': 0.0, 'e': 0.0}",20,6,24.273023760730506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,True,"{'a': 0.0, 'e': 0.0}",20,0,31.526739491791258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,True,"{'a': 0.0, 'e': 0.0}",20,11,19.55657541459426,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,True,"{'a': 0.0, 'e': 0.0}",20,0,24.275430766787018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,True,"{'a': 0.0, 'e': 0.0}",20,6,21.41651084001176,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,True,"{'a': 0.0, 'e': 0.0}",20,4,29.77486701683063,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,True,"{'a': 0.0, 'e': 0.0}",20,10,17.803219788525006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,True,"{'a': 0.0, 'e': 0.0}",20,0,27.67492053171717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,True,"{'a': 0.0, 'e': 0.0}",30,8,39.55211423016694,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,True,"{'a': 0.0, 'e': 0.0}",20,0,30.168784140611653,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,True,"{'a': 0.0, 'e': 0.0}",25,18,14.102986464507598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,True,"{'a': 0.0, 'e': 0.0}",25,2,31.262214793136177,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,True,"{'a': 0.0, 'e': 0.0}",30,0,46.117234536827205,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,True,"{'a': 0.0, 'e': 0.0}",20,15,8.993894693584839,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,True,"{'a': 0.0, 'e': 0.0}",25,20,8.486765779411948,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,True,"{'a': 0.0, 'e': 0.0}",20,13,15.36632421704332,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,True,"{'a': 0.0, 'e': 0.0}",25,16,19.122473137812293,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,True,"{'a': 0.0, 'e': 0.0}",30,22,13.47187622092115,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,True,"{'a': 0.0, 'e': 0.0}",30,16,19.218697919509044,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,True,"{'a': 0.0, 'e': 0.0}",20,10,16.45135531980967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,True,"{'a': 0.0, 'e': 0.0}",25,14,7.862995369044899,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
