Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,50.599998,50.680000,49.980000,50.029999,50.029999,26118700
2016-05-24,50.700001,51.709999,50.400002,51.590000,51.590000,34757900
2016-05-25,51.919998,52.490002,51.790001,52.119999,52.119999,24040200
2016-05-26,51.930000,51.980000,51.360001,51.889999,51.889999,24335200
2016-05-27,51.919998,52.320000,51.770000,52.320000,52.320000,17653700
2016-05-31,52.259998,53.000000,52.080002,53.000000,53.000000,37653100
2016-06-01,52.439999,52.950001,52.439999,52.849998,52.849998,25324800
2016-06-02,52.639999,52.740002,51.840000,52.480000,52.480000,22840800
2016-06-03,52.380001,52.419998,51.599998,51.790001,51.790001,23081300
2016-06-06,51.990002,52.349998,51.889999,52.130001,52.130001,18243300
2016-06-07,52.240002,52.730000,52.099998,52.099998,52.099998,20866800
2016-06-08,52.020000,52.439999,51.869999,52.040001,52.040001,21149400
2016-06-09,52.000000,52.000000,51.490002,51.619999,51.619999,20305700
2016-06-10,51.049999,52.049999,51.040001,51.480000,51.480000,25833200
2016-06-13,49.580002,50.720001,49.060001,50.139999,50.139999,83217800
2016-06-14,49.900002,50.099998,49.570000,49.830002,49.830002,42577100
2016-06-15,49.779999,50.119999,49.689999,49.689999,49.689999,33757600
2016-06-16,49.520000,50.470001,49.509998,50.389999,50.389999,31188600
2016-06-17,50.410000,50.430000,49.820000,50.130001,50.130001,45710500
2016-06-20,50.639999,50.830002,50.029999,50.070000,50.070000,35607900
2016-06-21,50.200001,51.430000,50.160000,51.189999,51.189999,34097800
2016-06-22,51.080002,51.459999,50.950001,50.990002,50.990002,28816800
2016-06-23,51.279999,52.060001,51.150002,51.910000,51.910000,29028800
2016-06-24,49.810001,50.939999,49.520000,49.830002,49.830002,133503000
2016-06-27,49.099998,49.150002,48.040001,48.430000,48.430000,50216300
2016-06-28,48.919998,49.470001,48.669998,49.439999,49.439999,38140700
2016-06-29,49.910000,50.720001,49.799999,50.540001,50.540001,31304000
2016-06-30,50.720001,51.299999,50.500000,51.169998,51.169998,28527800
2016-07-01,51.130001,51.720001,51.070000,51.160000,51.160000,21400400
2016-07-05,50.830002,51.279999,50.740002,51.169998,51.169998,24806400
2016-07-06,50.779999,51.540001,50.389999,51.380001,51.380001,28167500
2016-07-07,51.419998,51.610001,51.070000,51.380001,51.380001,19585200
2016-07-08,51.730000,52.360001,51.549999,52.299999,52.299999,28391000
2016-07-11,52.500000,52.830002,52.470001,52.590000,52.590000,22269200
2016-07-12,52.939999,53.400002,52.790001,53.209999,53.209999,27317600
2016-07-13,53.560001,53.860001,53.180000,53.509998,53.509998,25356800
2016-07-14,53.840000,53.990002,53.580002,53.740002,53.740002,24545500
2016-07-15,53.950001,54.000000,53.209999,53.700001,53.700001,32024400
2016-07-18,53.700001,54.340000,53.549999,53.959999,53.959999,31433900
2016-07-19,53.709999,53.900002,52.930000,53.090000,53.090000,53336500
2016-07-20,56.150002,56.840000,55.529999,55.910000,55.910000,89893300
2016-07-21,55.980000,56.230000,55.759998,55.799999,55.799999,32776700
2016-07-22,56.080002,56.630001,55.779999,56.570000,56.570000,32157200
